Subject ever time like where freq busy educ Sex Age Grade
1 Yes 2 Somewhat H.com. Weekly No Yes Female 19 A
2 Yes 0 Somewhat H.com. Monthly No No Female 18 C
3 Yes 0 Somewhat Arcade Monthly No No Male 19 B
4 Yes 0.5 Somewhat H.com. Monthly No Yes Female 19 B
5 Yes 0 Somewhat H.com. Semesterly No Yes Female 19 B
6 Yes 0 Somewhat H.sys. Semesterly No No Male 19 B
7 Yes 0 Not really H.com. Semesterly No No Male 20 B
8 Yes 0 Somewhat H.com. Semesterly No No Female 19 B
9 Yes 2 Somewhat H.sys. Daily Yes Yes Male 19 A
10 Yes 0 Somewhat H.com. Semesterly No Yes Male 19 A
82 No n.a. n.a. n.a. n.a. n.a. n.a. Male 19 A
